"","Time","Latitude_Deg","Longitude_Deg","Hs_Wave_Height_m","Tp_Wave_Period_sec","Dominant_Wave_Direction_Deg","Mean_Wave_Direction__Deg","Time_ET"
1,2026-03-05 14:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-05 09:00:00
2,2026-03-05 15:00:00,-100000.000000,-100000.000000,0.08,2.8,297,324,2026-03-05 10:00:00
1,2026-03-05 15:00:00,-100000.000000,-100000.000000,0.08,2.8,297,324,2026-03-05 10:00:00
2,2026-03-05 16:00:00,-100000.000000,-100000.000000,0.06,6.5,149,145,2026-03-05 11:00:00
1,2026-03-05 16:00:00,-100000.000000,-100000.000000,0.06,6.5,149,145,2026-03-05 11:00:00
2,2026-03-05 17:00:00,-100000.000000,-100000.000000,0.09,6.9,76,49,2026-03-05 12:00:00
1,2026-03-05 17:00:00,-100000.000000,-100000.000000,0.09,6.9,76,49,2026-03-05 12:00:00
2,2026-03-05 18:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-05 13:00:00
1,2026-03-05 18:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-05 13:00:00
2,2026-03-05 19:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-05 14:00:00
1,2026-03-05 19:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-05 14:00:00
2,2026-03-05 20:00:00,-100000.000000,-100000.000000,0.36,3.1,28,33,2026-03-05 15:00:00
1,2026-03-05 20:00:00,-100000.000000,-100000.000000,0.36,3.1,28,33,2026-03-05 15:00:00
2,2026-03-05 21:00:00,-100000.000000,-100000.000000,0.32,3.9,30,42,2026-03-05 16:00:00
3,2026-03-05 22:00:00,-100000.000000,-100000.000000,0.29,5.2,65,47,2026-03-05 17:00:00
4,2026-03-05 23:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-05 18:00:00
5,2026-03-06,-100000.000000,-100000.000000,0.30,4.3,57,52,2026-03-05 19:00:00
6,2026-03-06 01:00:00,-100000.000000,-100000.000000,0.27,1.6,57,62,2026-03-05 20:00:00
7,2026-03-06 02:00:00,-100000.000000,-100000.000000,0.29,1.8,37,40,2026-03-05 21:00:00
8,2026-03-06 03:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-05 22:00:00
9,2026-03-06 04:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-05 23:00:00
10,2026-03-06 05:00:00,-100000.000000,-100000.000000,0.55,4.5,46,37,2026-03-06
11,2026-03-06 06:00:00,-100000.000000,-100000.000000,0.67,4.2,50,46,2026-03-06 01:00:00
12,2026-03-06 07:00:00,-100000.000000,-100000.000000,0.52,3.9,53,47,2026-03-06 02:00:00
13,2026-03-06 08:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-06 03:00:00
14,2026-03-06 09:00:00,-100000.000000,-100000.000000,0.45,3.7,52,57,2026-03-06 04:00:00
15,2026-03-06 10:00:00,-100000.000000,-100000.000000,0.33,6.6,58,42,2026-03-06 05:00:00
16,2026-03-06 11:00:00,-100000.000000,-100000.000000,0.35,2.2,30,39,2026-03-06 06:00:00
17,2026-03-06 12:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-06 07:00:00
18,2026-03-06 13:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-06 08:00:00
1,2026-03-06 13:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-06 08:00:00
2,2026-03-06 14:00:00,-100000.000000,-100000.000000,0.33,2.1,5,17,2026-03-06 09:00:00
3,2026-03-06 15:00:00,-100000.000000,-100000.000000,0.38,2.3,20,24,2026-03-06 10:00:00
4,2026-03-06 16:00:00,-100000.000000,-100000.000000,0.43,4.6,72,47,2026-03-06 11:00:00
5,2026-03-06 17:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-06 12:00:00
6,2026-03-06 18:00:00,-100000.000000,-100000.000000,0.49,3.7,104,77,2026-03-06 13:00:00
7,2026-03-06 19:00:00,-100000.000000,-100000.000000,0.54,4.7,96,85,2026-03-06 14:00:00
1,2026-03-06 19:00:00,-100000.000000,-100000.000000,0.54,4.7,96,85,2026-03-06 14:00:00
2,2026-03-06 20:00:00,-100000.000000,-100000.000000,0.47,3.6,62,57,2026-03-06 15:00:00
1,2026-03-06 20:00:00,-100000.000000,-100000.000000,0.47,3.6,62,57,2026-03-06 15:00:00
2,2026-03-06 21:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-06 16:00:00
1,2026-03-06 21:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-06 16:00:00
2,2026-03-06 22:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-06 17:00:00
3,2026-03-06 23:00:00,-100000.000000,-100000.000000,0.24,5.2,74,55,2026-03-06 18:00:00
4,2026-03-07,-100000.000000,-100000.000000,0.23,4.9,69,59,2026-03-06 19:00:00
5,2026-03-07 01:00:00,-100000.000000,-100000.000000,0.23,4.4,79,57,2026-03-06 20:00:00
6,2026-03-07 02:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-06 21:00:00
1,2026-03-07 02:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-06 21:00:00
2,2026-03-07 03:00:00,-100000.000000,-100000.000000,0.19,1.8,89,69,2026-03-06 22:00:00
3,2026-03-07 04:00:00,-100000.000000,-100000.000000,0.24,4.1,131,122,2026-03-06 23:00:00
4,2026-03-07 05:00:00,-100000.000000,-100000.000000,0.26,5.9,126,121,2026-03-07
5,2026-03-07 06:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-07 01:00:00
6,2026-03-07 07:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-07 02:00:00
7,2026-03-07 08:00:00,-100000.000000,-100000.000000,0.25,4.1,87,86,2026-03-07 03:00:00
8,2026-03-07 09:00:00,-100000.000000,-100000.000000,0.24,5.4,95,87,2026-03-07 04:00:00
9,2026-03-07 10:00:00,-100000.000000,-100000.000000,0.18,6.4,107,91,2026-03-07 05:00:00
10,2026-03-07 11:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-07 06:00:00
1,2026-03-07 11:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-07 06:00:00
2,2026-03-07 12:00:00,-100000.000000,-100000.000000,0.12,5.0,91,82,2026-03-07 07:00:00
3,2026-03-07 13:00:00,-100000.000000,-100000.000000,0.13,4.6,90,87,2026-03-07 08:00:00
4,2026-03-07 14:00:00,-100000.000000,-100000.000000,0.11,4.4,146,146,2026-03-07 09:00:00
5,2026-03-07 15:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-07 10:00:00
6,2026-03-07 16:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-07 11:00:00
7,2026-03-07 17:00:00,-100000.000000,-100000.000000,0.17,5.0,142,134,2026-03-07 12:00:00
8,2026-03-07 18:00:00,-100000.000000,-100000.000000,0.20,4.6,147,167,2026-03-07 13:00:00
9,2026-03-07 19:00:00,-100000.000000,-100000.000000,0.26,4.3,90,165,2026-03-07 14:00:00
10,2026-03-07 20:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-07 15:00:00
11,2026-03-07 21:00:00,-100000.000000,-100000.000000,0.23,2.0,252,165,2026-03-07 16:00:00
12,2026-03-07 22:00:00,-100000.000000,-100000.000000,0.17,4.8,136,127,2026-03-07 17:00:00
13,2026-03-07 23:00:00,-100000.000000,-100000.000000,0.15,1.9,262,231,2026-03-07 18:00:00
14,2026-03-08,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-07 19:00:00
15,2026-03-08 01:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-07 20:00:00
16,2026-03-08 02:00:00,-100000.000000,-100000.000000,0.20,2.3,261,259,2026-03-07 21:00:00
17,2026-03-08 03:00:00,-100000.000000,-100000.000000,0.20,2.7,274,279,2026-03-07 22:00:00
18,2026-03-08 04:00:00,-100000.000000,-100000.000000,0.22,2.9,258,256,2026-03-07 23:00:00
19,2026-03-08 05:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-08
20,2026-03-08 06:00:00,-100000.000000,-100000.000000,0.23,2.9,236,231,2026-03-08 01:00:00
21,2026-03-08 07:00:00,-100000.000000,-100000.000000,0.19,2.6,236,229,2026-03-08 03:00:00
22,2026-03-08 08:00:00,-100000.000000,-100000.000000,0.12,4.9,92,105,2026-03-08 04:00:00
23,2026-03-08 09:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-08 05:00:00
24,2026-03-08 10:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-08 06:00:00
25,2026-03-08 11:00:00,-100000.000000,-100000.000000,0.10,6.1,145,157,2026-03-08 07:00:00
26,2026-03-08 12:00:00,-100000.000000,-100000.000000,0.10,1.4,222,146,2026-03-08 08:00:00
27,2026-03-08 13:00:00,-100000.000000,-100000.000000,0.08,1.8,7,171,2026-03-08 09:00:00
28,2026-03-08 14:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-08 10:00:00
29,2026-03-08 15:00:00,-100000.000000,-100000.000000,0.07,6.4,146,140,2026-03-08 11:00:00
30,2026-03-08 16:00:00,-100000.000000,-100000.000000,0.06,1.6,313,316,2026-03-08 12:00:00
31,2026-03-08 17:00:00,-100000.000000,-100000.000000,0.09,2.2,303,297,2026-03-08 13:00:00
32,2026-03-08 18:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-08 14:00:00
33,2026-03-08 19:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-08 15:00:00
34,2026-03-08 20:00:00,-100000.000000,-100000.000000,0.13,6.5,144,237,2026-03-08 16:00:00
35,2026-03-08 21:00:00,-100000.000000,-100000.000000,0.09,3.0,73,73,2026-03-08 17:00:00
36,2026-03-08 22:00:00,-100000.000000,-100000.000000,0.07,1.7,80,70,2026-03-08 18:00:00
37,2026-03-08 23:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-08 19:00:00
38,2026-03-09,-100000.000000,-100000.000000,0.04,7.3,89,73,2026-03-08 20:00:00
39,2026-03-09 01:00:00,-100000.000000,-100000.000000,0.05,6.6,114,51,2026-03-08 21:00:00
40,2026-03-09 02:00:00,-100000.000000,-100000.000000,0.04,4.9,115,94,2026-03-08 22:00:00
41,2026-03-09 03:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-08 23:00:00
42,2026-03-09 04:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-09
43,2026-03-09 05:00:00,-100000.000000,-100000.000000,0.04,6.6,85,107,2026-03-09 01:00:00
44,2026-03-09 06:00:00,-100000.000000,-100000.000000,0.05,9.1,0,122,2026-03-09 02:00:00
45,2026-03-09 07:00:00,-100000.000000,-100000.000000,0.06,10.0,0,76,2026-03-09 03:00:00
46,2026-03-09 08:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-09 04:00:00
47,2026-03-09 09:00:00,-100000.000000,-100000.000000,0.06,7.7,90,91,2026-03-09 05:00:00
48,2026-03-09 10:00:00,-100000.000000,-100000.000000,0.05,3.6,87,91,2026-03-09 06:00:00
49,2026-03-09 11:00:00,-100000.000000,-100000.000000,0.04,5.3,127,107,2026-03-09 07:00:00
50,2026-03-09 12:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-09 08:00:00
1,2026-03-09 12:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-09 08:00:00
2,2026-03-09 13:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-09 09:00:00
1,2026-03-09 13:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-09 09:00:00
2,2026-03-09 14:00:00,-100000.000000,-100000.000000,0.07,2.1,101,94,2026-03-09 10:00:00
1,2026-03-09 14:00:00,-100000.000000,-100000.000000,0.07,2.1,101,94,2026-03-09 10:00:00
2,2026-03-09 15:00:00,-100000.000000,-100000.000000,0.03,2.4,283,160,2026-03-09 11:00:00
1,2026-03-09 15:00:00,-100000.000000,-100000.000000,0.03,2.4,283,160,2026-03-09 11:00:00
2,2026-03-09 16:00:00,-100000.000000,-100000.000000,0.08,2.2,85,81,2026-03-09 12:00:00
1,2026-03-09 16:00:00,-100000.000000,-100000.000000,0.08,2.2,85,81,2026-03-09 12:00:00
2,2026-03-09 17:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-09 13:00:00
1,2026-03-09 17:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-09 13:00:00
2,2026-03-09 18:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-09 14:00:00
1,2026-03-09 18:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-09 14:00:00
2,2026-03-09 19:00:00,-100000.000000,-100000.000000,0.16,2.3,315,311,2026-03-09 15:00:00
3,2026-03-09 20:00:00,-100000.000000,-100000.000000,0.18,2.2,281,282,2026-03-09 16:00:00
4,2026-03-09 21:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-09 17:00:00
1,2026-03-09 21:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-09 17:00:00
2,2026-03-09 22:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-09 18:00:00
3,2026-03-09 23:00:00,-100000.000000,-100000.000000,0.15,1.9,95,121,2026-03-09 19:00:00
4,2026-03-10,-100000.000000,-100000.000000,0.08,4.8,124,81,2026-03-09 20:00:00
1,2026-03-10,-100000.000000,-100000.000000,0.08,4.8,124,81,2026-03-09 20:00:00
2,2026-03-10 01:00:00,-100000.000000,-100000.000000,0.08,6.6,218,122,2026-03-09 21:00:00
3,2026-03-10 02:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-09 22:00:00
4,2026-03-10 03:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-09 23:00:00
5,2026-03-10 04:00:00,-100000.000000,-100000.000000,0.04,6.9,144,144,2026-03-10
6,2026-03-10 05:00:00,-100000.000000,-100000.000000,0.06,1.6,287,286,2026-03-10 01:00:00
7,2026-03-10 06:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-10 02:00:00
8,2026-03-10 07:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-10 03:00:00
9,2026-03-10 08:00:00,-100000.000000,-100000.000000,0.08,6.8,80,66,2026-03-10 04:00:00
10,2026-03-10 09:00:00,-100000.000000,-100000.000000,0.07,9.0,0,64,2026-03-10 05:00:00
11,2026-03-10 10:00:00,-100000.000000,-100000.000000,0.08,3.5,54,65,2026-03-10 06:00:00
12,2026-03-10 11:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-10 07:00:00
13,2026-03-10 12:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-10 08:00:00
14,2026-03-10 13:00:00,-100000.000000,-100000.000000,0.08,2.4,66,76,2026-03-10 09:00:00
15,2026-03-10 14:00:00,-100000.000000,-100000.000000,0.07,2.4,96,96,2026-03-10 10:00:00
16,2026-03-10 15:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-10 11:00:00
17,2026-03-10 16:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-10 12:00:00
18,2026-03-10 17:00:00,-100000.000000,-100000.000000,0.07,2.2,102,116,2026-03-10 13:00:00
19,2026-03-10 18:00:00,-100000.000000,-100000.000000,0.10,4.4,76,57,2026-03-10 14:00:00
20,2026-03-10 19:00:00,-100000.000000,-100000.000000,0.13,1.9,250,255,2026-03-10 15:00:00
21,2026-03-10 20:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-10 16:00:00
22,2026-03-10 21:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-10 17:00:00
23,2026-03-10 22:00:00,-100000.000000,-100000.000000,0.14,2.1,281,283,2026-03-10 18:00:00
24,2026-03-10 23:00:00,-100000.000000,-100000.000000,0.14,2.3,105,125,2026-03-10 19:00:00
25,2026-03-11,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-10 20:00:00
26,2026-03-11 01:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-10 21:00:00
27,2026-03-11 02:00:00,-100000.000000,-100000.000000,0.04,3.5,101,102,2026-03-10 22:00:00
28,2026-03-11 03:00:00,-100000.000000,-100000.000000,0.07,3.1,93,70,2026-03-10 23:00:00
29,2026-03-11 04:00:00,-100000.000000,-100000.000000,0.04,6.6,116,108,2026-03-11
30,2026-03-11 05:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-11 01:00:00
31,2026-03-11 06:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-11 02:00:00
32,2026-03-11 07:00:00,-100000.000000,-100000.000000,0.04,7.0,116,131,2026-03-11 03:00:00
33,2026-03-11 08:00:00,-100000.000000,-100000.000000,0.05,8.0,0,117,2026-03-11 04:00:00
34,2026-03-11 09:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-11 05:00:00
35,2026-03-11 10:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-11 06:00:00
36,2026-03-11 11:00:00,-100000.000000,-100000.000000,0.35,2.5,53,56,2026-03-11 07:00:00
37,2026-03-11 12:00:00,-100000.000000,-100000.000000,0.34,3.1,16,28,2026-03-11 08:00:00
1,2026-03-11 12:00:00,-100000.000000,-100000.000000,0.34,3.1,16,28,2026-03-11 08:00:00
2,2026-03-11 13:00:00,-100000.000000,-100000.000000,0.29,3.5,29,37,2026-03-11 09:00:00
1,2026-03-11 13:00:00,-100000.000000,-100000.000000,0.29,3.5,29,37,2026-03-11 09:00:00
2,2026-03-11 14:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-11 10:00:00
1,2026-03-11 14:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-11 10:00:00
2,2026-03-11 15:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-11 11:00:00
1,2026-03-11 15:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-11 11:00:00
2,2026-03-11 16:00:00,-100000.000000,-100000.000000,0.23,4.2,56,44,2026-03-11 12:00:00
1,2026-03-11 16:00:00,-100000.000000,-100000.000000,0.23,4.2,56,44,2026-03-11 12:00:00
2,2026-03-11 17:00:00,-100000.000000,-100000.000000,0.21,1.7,65,60,2026-03-11 13:00:00
1,2026-03-11 17:00:00,-100000.000000,-100000.000000,0.21,1.7,65,60,2026-03-11 13:00:00
2,2026-03-11 18:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-11 14:00:00
1,2026-03-11 18:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-11 14:00:00
2,2026-03-11 19:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-11 15:00:00
1,2026-03-11 19:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-11 15:00:00
2,2026-03-11 20:00:00,-100000.000000,-100000.000000,0.20,4.8,69,44,2026-03-11 16:00:00
3,2026-03-11 21:00:00,-100000.000000,-100000.000000,0.26,3.7,78,75,2026-03-11 17:00:00
4,2026-03-11 22:00:00,-100000.000000,-100000.000000,0.25,6.4,71,64,2026-03-11 18:00:00
5,2026-03-11 23:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-11 19:00:00
6,2026-03-12,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-11 20:00:00
7,2026-03-12 01:00:00,-100000.000000,-100000.000000,0.16,5.3,82,73,2026-03-11 21:00:00
8,2026-03-12 02:00:00,-100000.000000,-100000.000000,0.13,6.2,101,87,2026-03-11 22:00:00
9,2026-03-12 03:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-11 23:00:00
10,2026-03-12 04:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-12
11,2026-03-12 05:00:00,-100000.000000,-100000.000000,0.17,2.0,250,220,2026-03-12 01:00:00
12,2026-03-12 06:00:00,-100000.000000,-100000.000000,0.11,6.4,131,163,2026-03-12 02:00:00
13,2026-03-12 07:00:00,-100000.000000,-100000.000000,0.10,4.0,156,135,2026-03-12 03:00:00
14,2026-03-12 08:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-12 04:00:00
15,2026-03-12 09:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-12 05:00:00
16,2026-03-12 10:00:00,-100000.000000,-100000.000000,0.15,6.6,146,145,2026-03-12 06:00:00
17,2026-03-12 11:00:00,-100000.000000,-100000.000000,0.20,6.5,129,150,2026-03-12 07:00:00
18,2026-03-12 12:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-12 08:00:00
1,2026-03-12 12:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-12 08:00:00
2,2026-03-12 13:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-12 09:00:00
1,2026-03-12 13:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-12 09:00:00
2,2026-03-12 14:00:00,-100000.000000,-100000.000000,0.12,2.4,51,65,2026-03-12 10:00:00
1,2026-03-12 14:00:00,-100000.000000,-100000.000000,0.12,2.4,51,65,2026-03-12 10:00:00
2,2026-03-12 15:00:00,-100000.000000,-100000.000000,0.22,1.3,281,289,2026-03-12 11:00:00
1,2026-03-12 15:00:00,-100000.000000,-100000.000000,0.22,1.3,281,289,2026-03-12 11:00:00
2,2026-03-12 16:00:00,-100000.000000,-100000.000000,0.20,1.4,261,289,2026-03-12 12:00:00
1,2026-03-12 16:00:00,-100000.000000,-100000.000000,0.20,1.4,261,289,2026-03-12 12:00:00
2,2026-03-12 17:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-12 13:00:00
1,2026-03-12 17:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-12 13:00:00
2,2026-03-12 18:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-12 14:00:00
1,2026-03-12 18:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-12 14:00:00
2,2026-03-12 19:00:00,-100000.000000,-100000.000000,0.17,1.8,227,244,2026-03-12 15:00:00
3,2026-03-12 20:00:00,-100000.000000,-100000.000000,0.17,1.9,239,239,2026-03-12 16:00:00
4,2026-03-12 21:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-12 17:00:00
5,2026-03-12 22:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-12 18:00:00
6,2026-03-12 23:00:00,-100000.000000,-100000.000000,0.16,1.5,216,248,2026-03-12 19:00:00
7,2026-03-13,-100000.000000,-100000.000000,0.13,1.5,248,245,2026-03-12 20:00:00
8,2026-03-13 01:00:00,-100000.000000,-100000.000000,0.17,1.4,211,235,2026-03-12 21:00:00
9,2026-03-13 02:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-12 22:00:00
10,2026-03-13 03:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-12 23:00:00
11,2026-03-13 04:00:00,-100000.000000,-100000.000000,0.20,1.7,257,258,2026-03-13
12,2026-03-13 05:00:00,-100000.000000,-100000.000000,0.23,1.5,315,309,2026-03-13 01:00:00
13,2026-03-13 06:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-13 02:00:00
14,2026-03-13 07:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-13 03:00:00
15,2026-03-13 08:00:00,-100000.000000,-100000.000000,0.22,1.5,352,2,2026-03-13 04:00:00
16,2026-03-13 09:00:00,-100000.000000,-100000.000000,0.20,1.5,346,360,2026-03-13 05:00:00
17,2026-03-13 10:00:00,-100000.000000,-100000.000000,0.17,1.3,356,14,2026-03-13 06:00:00
18,2026-03-13 11:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-13 07:00:00
1,2026-03-13 11:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-13 07:00:00
2,2026-03-13 12:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-13 08:00:00
3,2026-03-13 13:00:00,-100000.000000,-100000.000000,0.17,5.1,39,25,2026-03-13 09:00:00
4,2026-03-13 14:00:00,-100000.000000,-100000.000000,0.13,1.8,38,17,2026-03-13 10:00:00
1,2026-03-13 14:00:00,-100000.000000,-100000.000000,0.13,1.8,38,17,2026-03-13 10:00:00
2,2026-03-13 15:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-13 11:00:00
3,2026-03-13 16:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-13 12:00:00
4,2026-03-13 17:00:00,-100000.000000,-100000.000000,0.05,2.5,67,68,2026-03-13 13:00:00
5,2026-03-13 18:00:00,-100000.000000,-100000.000000,0.12,2.4,54,69,2026-03-13 14:00:00
6,2026-03-13 19:00:00,-100000.000000,-100000.000000,0.14,2.0,259,256,2026-03-13 15:00:00
1,2026-03-13 19:00:00,-100000.000000,-100000.000000,0.14,2.0,259,256,2026-03-13 15:00:00
2,2026-03-13 20:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-13 16:00:00
1,2026-03-13 20:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-13 16:00:00
2,2026-03-13 21:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-13 17:00:00
3,2026-03-13 22:00:00,-100000.000000,-100000.000000,0.13,2.2,280,281,2026-03-13 18:00:00
4,2026-03-13 23:00:00,-100000.000000,-100000.000000,0.20,2.5,270,257,2026-03-13 19:00:00
5,2026-03-14,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-13 20:00:00
6,2026-03-14 01:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-13 21:00:00
