"","Time","Latitude_Deg","Longitude_Deg","Hs_Wave_Height_m","Tp_Wave_Period_sec","Dominant_Wave_Direction_Deg","Mean_Wave_Direction__Deg","Time_ET"
2,2026-02-26 19:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-02-26 14:00:00
1,2026-02-26 19:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-02-26 14:00:00
2,2026-02-26 20:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-02-26 15:00:00
1,2026-02-26 20:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-02-26 15:00:00
2,2026-02-26 21:00:00,-100000.000000,-100000.000000,0.09,2.4,300,304,2026-02-26 16:00:00
3,2026-02-26 22:00:00,-100000.000000,-100000.000000,0.07,1.6,169,244,2026-02-26 17:00:00
4,2026-02-26 23:00:00,-100000.000000,-100000.000000,0.08,2.1,189,261,2026-02-26 18:00:00
1,2026-02-26 23:00:00,-100000.000000,-100000.000000,0.08,2.1,189,261,2026-02-26 18:00:00
2,2026-02-27,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-02-26 19:00:00
3,2026-02-27 01:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-02-26 20:00:00
4,2026-02-27 13:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-02-27 08:00:00
5,2026-02-27 14:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-02-27 09:00:00
1,2026-02-27 14:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-02-27 09:00:00
2,2026-02-27 15:00:00,-100000.000000,-100000.000000,0.10,3.7,331,342,2026-02-27 10:00:00
1,2026-02-27 15:00:00,-100000.000000,-100000.000000,0.10,3.7,331,342,2026-02-27 10:00:00
2,2026-02-27 16:00:00,-100000.000000,-100000.000000,0.06,3.7,50,46,2026-02-27 11:00:00
1,2026-02-27 16:00:00,-100000.000000,-100000.000000,0.06,3.7,50,46,2026-02-27 11:00:00
2,2026-02-27 17:00:00,-100000.000000,-100000.000000,0.07,3.5,45,7,2026-02-27 12:00:00
3,2026-02-27 18:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-02-27 13:00:00
4,2026-02-27 19:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-02-27 14:00:00
5,2026-02-27 20:00:00,-100000.000000,-100000.000000,0.14,1.4,304,203,2026-02-27 15:00:00
1,2026-02-27 20:00:00,-100000.000000,-100000.000000,0.14,1.4,304,203,2026-02-27 15:00:00
2,2026-02-27 21:00:00,-100000.000000,-100000.000000,0.15,1.5,224,216,2026-02-27 16:00:00
1,2026-02-27 21:00:00,-100000.000000,-100000.000000,0.15,1.5,224,216,2026-02-27 16:00:00
2,2026-02-27 22:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-02-27 17:00:00
3,2026-02-27 23:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-02-27 18:00:00
4,2026-02-28,-100000.000000,-100000.000000,0.13,5.1,332,309,2026-02-27 19:00:00
5,2026-02-28 01:00:00,-100000.000000,-100000.000000,0.14,1.8,80,121,2026-02-27 20:00:00
6,2026-02-28 02:00:00,-100000.000000,-100000.000000,0.15,5.3,16,306,2026-02-27 21:00:00
7,2026-02-28 03:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-02-27 22:00:00
8,2026-02-28 04:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-02-27 23:00:00
9,2026-02-28 05:00:00,-100000.000000,-100000.000000,0.07,5.3,301,289,2026-02-28
10,2026-02-28 06:00:00,-100000.000000,-100000.000000,0.10,1.5,158,127,2026-02-28 01:00:00
11,2026-02-28 07:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-02-28 02:00:00
12,2026-02-28 08:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-02-28 03:00:00
13,2026-02-28 09:00:00,-100000.000000,-100000.000000,0.06,1.6,157,152,2026-02-28 04:00:00
14,2026-02-28 10:00:00,-100000.000000,-100000.000000,0.08,2.0,155,109,2026-02-28 05:00:00
15,2026-02-28 11:00:00,-100000.000000,-100000.000000,0.11,1.9,329,16,2026-02-28 06:00:00
16,2026-02-28 12:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-02-28 07:00:00
17,2026-02-28 13:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-02-28 08:00:00
18,2026-02-28 14:00:00,-100000.000000,-100000.000000,0.10,6.4,354,334,2026-02-28 09:00:00
19,2026-02-28 15:00:00,-100000.000000,-100000.000000,0.12,2.1,287,282,2026-02-28 10:00:00
20,2026-02-28 16:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-02-28 11:00:00
21,2026-02-28 17:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-02-28 12:00:00
22,2026-02-28 18:00:00,-100000.000000,-100000.000000,0.12,1.4,325,88,2026-02-28 13:00:00
23,2026-02-28 19:00:00,-100000.000000,-100000.000000,0.14,1.5,245,163,2026-02-28 14:00:00
24,2026-02-28 20:00:00,-100000.000000,-100000.000000,0.12,2.2,325,312,2026-02-28 15:00:00
25,2026-02-28 21:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-02-28 16:00:00
26,2026-02-28 22:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-02-28 17:00:00
27,2026-02-28 23:00:00,-100000.000000,-100000.000000,0.09,1.9,130,76,2026-02-28 18:00:00
28,2026-03-01,-100000.000000,-100000.000000,0.11,2.2,210,180,2026-02-28 19:00:00
29,2026-03-01 01:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-02-28 20:00:00
30,2026-03-01 02:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-02-28 21:00:00
31,2026-03-01 03:00:00,-100000.000000,-100000.000000,0.12,4.1,91,72,2026-02-28 22:00:00
32,2026-03-01 04:00:00,-100000.000000,-100000.000000,0.09,4.2,173,176,2026-02-28 23:00:00
33,2026-03-01 05:00:00,-100000.000000,-100000.000000,0.07,4.5,56,271,2026-03-01
34,2026-03-01 06:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-01 01:00:00
35,2026-03-01 07:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-01 02:00:00
36,2026-03-01 08:00:00,-100000.000000,-100000.000000,0.09,1.7,173,317,2026-03-01 03:00:00
37,2026-03-01 09:00:00,-100000.000000,-100000.000000,0.05,4.4,72,81,2026-03-01 04:00:00
38,2026-03-01 10:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-01 05:00:00
39,2026-03-01 11:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-01 06:00:00
40,2026-03-01 12:00:00,-100000.000000,-100000.000000,0.15,1.6,215,79,2026-03-01 07:00:00
1,2026-03-01 12:00:00,-100000.000000,-100000.000000,0.15,1.6,215,79,2026-03-01 07:00:00
2,2026-03-01 13:00:00,-100000.000000,-100000.000000,0.13,1.6,4,192,2026-03-01 08:00:00
3,2026-03-01 14:00:00,-100000.000000,-100000.000000,0.12,3.9,23,24,2026-03-01 09:00:00
4,2026-03-01 15:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-01 10:00:00
5,2026-03-01 16:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-01 11:00:00
6,2026-03-01 17:00:00,-100000.000000,-100000.000000,0.16,2.8,251,299,2026-03-01 12:00:00
7,2026-03-01 18:00:00,-100000.000000,-100000.000000,0.17,2.6,279,249,2026-03-01 13:00:00
8,2026-03-01 19:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-01 14:00:00
9,2026-03-01 20:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-01 15:00:00
10,2026-03-01 21:00:00,-100000.000000,-100000.000000,0.08,3.6,300,312,2026-03-01 16:00:00
11,2026-03-01 22:00:00,-100000.000000,-100000.000000,0.16,1.6,252,42,2026-03-01 17:00:00
12,2026-03-01 23:00:00,-100000.000000,-100000.000000,0.17,1.5,344,47,2026-03-01 18:00:00
13,2026-03-02,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-01 19:00:00
14,2026-03-02 01:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-01 20:00:00
15,2026-03-02 02:00:00,-100000.000000,-100000.000000,0.23,5.1,184,243,2026-03-01 21:00:00
16,2026-03-02 03:00:00,-100000.000000,-100000.000000,0.29,3.1,293,264,2026-03-01 22:00:00
17,2026-03-02 04:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-01 23:00:00
18,2026-03-02 05:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-02
19,2026-03-02 06:00:00,-100000.000000,-100000.000000,0.28,3.1,125,121,2026-03-02 01:00:00
