"","Timestamp_UTC","Flood.Depth","QC_Roll_Up","QC_Spike_Test","QC_Rate_of_Change","QC_Flat_Line","QC_Volatility","QC_Climatology","Location","Unit","Time_ET","min","QC_Sensor_Error","QC_Note","Station.Name","Latitude","Longitude","Type","Sponsor","Directions"
"4713","2025-10-13T19:16:00Z",0,"1","1","1","1","1","1","Lewis.Mall","Flood Depth_ft",2025-10-13 15:16:00,0,NA,"Data passed quality control checks","Boston - Lewis Mall",42.3663,-71.0417,"ultrasonic","City of Boston","https://maps.app.goo.gl/7JEpb8W8TKiTKhyN9"
"4714","2025-10-13T19:16:00Z",0,"1","1","1","1","1","1","Tenean.Beach","Flood Depth_ft",2025-10-13 15:16:00,-0.29,NA,"Data passed quality control checks","Boston - Tenean Beach",42.29139,-71.0424,"radar","City of Boston","https://maps.app.goo.gl/aYWeqcaZen26JbRC7"
"4715","2025-10-13T19:17:00Z",0,"1","1","1","1","1","1","Lewis.Mall","Flood Depth_ft",2025-10-13 15:17:00,0,NA,"Data passed quality control checks","Boston - Lewis Mall",42.3663,-71.0417,"ultrasonic","City of Boston","https://maps.app.goo.gl/7JEpb8W8TKiTKhyN9"
"4716","2025-10-13T19:17:00Z",0,"1","1","1","1","1","1","Tenean.Beach","Flood Depth_ft",2025-10-13 15:17:00,-0.29,NA,"Data passed quality control checks","Boston - Tenean Beach",42.29139,-71.0424,"radar","City of Boston","https://maps.app.goo.gl/aYWeqcaZen26JbRC7"
"4717","2025-10-13T19:18:00Z",0,"1","1","1","1","1","1","Lewis.Mall","Flood Depth_ft",2025-10-13 15:18:00,0,NA,"Data passed quality control checks","Boston - Lewis Mall",42.3663,-71.0417,"ultrasonic","City of Boston","https://maps.app.goo.gl/7JEpb8W8TKiTKhyN9"
"4718","2025-10-13T19:18:00Z",0,"1","1","1","1","1","1","Tenean.Beach","Flood Depth_ft",2025-10-13 15:18:00,-0.29,NA,"Data passed quality control checks","Boston - Tenean Beach",42.29139,-71.0424,"radar","City of Boston","https://maps.app.goo.gl/aYWeqcaZen26JbRC7"
"4719","2025-10-13T19:19:00Z",0,"4","4","4","1","4","4","Lewis.Mall","Flood Depth_ft",2025-10-13 15:19:00,0,NA,"Data failed quality control checks","Boston - Lewis Mall",42.3663,-71.0417,"ultrasonic","City of Boston","https://maps.app.goo.gl/7JEpb8W8TKiTKhyN9"
"4720","2025-10-13T19:19:00Z",0,"9","9","9","9","9","9","Tenean.Beach","Flood Depth_ft",2025-10-13 15:19:00,-0.29,NA,"No data collected","Boston - Tenean Beach",42.29139,-71.0424,"radar","City of Boston","https://maps.app.goo.gl/aYWeqcaZen26JbRC7"
"4721","2025-10-13T19:20:00Z",0,"1","1","1","1","1","1","Lewis.Mall","Flood Depth_ft",2025-10-13 15:20:00,0,NA,"Data passed quality control checks","Boston - Lewis Mall",42.3663,-71.0417,"ultrasonic","City of Boston","https://maps.app.goo.gl/7JEpb8W8TKiTKhyN9"
"4722","2025-10-13T19:20:00Z",0,"1","1","1","1","1","1","Tenean.Beach","Flood Depth_ft",2025-10-13 15:20:00,-0.29,NA,"Data passed quality control checks","Boston - Tenean Beach",42.29139,-71.0424,"radar","City of Boston","https://maps.app.goo.gl/aYWeqcaZen26JbRC7"
"4723","2025-10-13T19:21:00Z",0,"1","1","1","1","1","1","Lewis.Mall","Flood Depth_ft",2025-10-13 15:21:00,0,NA,"Data passed quality control checks","Boston - Lewis Mall",42.3663,-71.0417,"ultrasonic","City of Boston","https://maps.app.goo.gl/7JEpb8W8TKiTKhyN9"
